timestamp_ist,device.deviceName,domain,intent,ALEXA_RESPONSE,ASR_REPLACEMENT_TEXT,CUSTOMER_TRANSCRIPT,TTS_REPLACEMENT_TEXT
2025-09-10 11:10:57 IST,Ananterra_Plavu101,Echo.SDK,GreetingsIntent,Hello! Nice to be talking to you.,,hi,
2025-09-10 11:10:56 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 17:34:52 IST,Ananterra_Arayaal205,Echo.SDK,FarewellIntent,Speak soon.,,tata bye-bye,
2025-09-09 17:34:52 IST,Ananterra_Arayaal205,,Unknown,,alexa,,
2025-09-09 17:04:13 IST,Ananterra_vilvam202,Knowledge,QAIntent,"From theadvocate.com: | Salad, pasta and cheesecake were on the menu this week.",,alexa what's on the menu,
2025-09-09 17:04:13 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 15:35:29 IST,Ananterra_vilvam202,Knowledge,QAIntent,"सॉरी, मुझे वो नहीं मालूम.",,alexa आज का room service clean करो,
2025-09-09 15:13:58 IST,H403,,HaveFed,I'm not quite sure how to help you with that.,,alexa data order feedback,
2025-09-09 11:03:43 IST,Ananterra_vilvam202,Global,StopIntent,,,alexa stop,
2025-09-09 10:41:21 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Playing songs by Nicki Minaj from JioSaavn.,,play nicki minaj,
2025-09-09 10:41:21 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 10:40:03 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Teeki Teeki Taaki Habits Song by ChuChu TV from JioSaavn.,,play teeki teeki taaki,
2025-09-09 10:40:03 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 10:36:30 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Bom Diggy Diggy by Zack Knight & Jasmin Walia from JioSaavn.,,play diggy diggy,
2025-09-09 10:36:30 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 10:35:04 IST,Ananterra_vilvam202,Global,PlayIntent,Moving your stream from JioSaavn.,,play play,
2025-09-09 10:35:04 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 10:34:43 IST,Ananterra_Plavu101,Music,MusicControlIntent,,,stop the music,
2025-09-09 10:34:42 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 10:15:58 IST,Ananterra_Plavu101,Music,PlayMusicIntent,OK. | Here's JioSaavn .,,jiosaavn music play,
2025-09-09 10:15:55 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 10:15:40 IST,Ananterra_Plavu101,Music,PlayMusicIntent,"To listen to Spotify, go to the Alexa Mobile app and link your account.",,play a malayalam melody song,
2025-09-09 10:15:38 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 10:15:31 IST,Ananterra_Plavu101,Music,PlayMusicIntent,"To listen to Spotify, go to the Alexa Mobile app and link your account.",,play malayalam malayalam melody,
2025-09-09 10:15:29 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 10:15:20 IST,Ananterra_Plavu101,Music,PlayMusicIntent,"To listen to Spotify, go to the Alexa Mobile app and link your account.",,play malayalam melody,
2025-09-09 10:15:18 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 10:04:43 IST,Ananterra_Plavu101,Music,PlayMusicIntent,"To listen to Spotify, go to the Alexa Mobile app and link your account.",,please play very melodious malayalam songs,
2025-09-09 10:04:37 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 09:38:33 IST,Ananterra_Arayaal205,Global,NoExpressedIntent,"I can help you shop for everyday items. Try saying things like, Alexa, order AA batteries, or, reorder paper towels.",,one lakh,
2025-09-09 09:38:32 IST,Ananterra_Arayaal205,,Unknown,,alexa,,
2025-09-09 09:38:14 IST,Ananterra_Arayaal205,Music,PlayMusicIntent,,Open magic pet,,I can't find the song Open magic pet on Spotify.
2025-09-09 09:24:17 IST,Ananterra_Plavu101,Music,MusicControlIntent,,,stop the song,
2025-09-09 09:15:21 IST,Ananterra_Plavu101,Music,PlayMusicIntent,Playing songs by A.R. Rahman from JioSaavn.,,play a. r. rahman music beat,
2025-09-09 09:15:18 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 09:10:29 IST,Ananterra_Plavu101,Music,MusicControlIntent,,,stop the music,
2025-09-09 09:10:28 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 09:09:29 IST,Ananterra_Plavu101,Music,PlayMusicIntent,"To listen to Spotify, go to the Alexa Mobile app and link your account.",,play malayalam melodies,
2025-09-09 09:09:25 IST,Ananterra_Plavu101,,Unknown,,hey alexa,,
2025-09-09 08:55:35 IST,Ananterra_Plavu101,Music,PlayMusicIntent,Playing hindi music from JioSaavn.,,please play the song raatingal poothadi sharati,
2025-09-09 08:55:32 IST,Ananterra_Plavu101,,Unknown,,hey alexa,,
2025-09-09 08:55:16 IST,Ananterra_Plavu101,Music,PlayMusicIntent,Playing hindi music from JioSaavn.,,please play the song that thing put that,
2025-09-09 08:55:13 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 08:54:09 IST,Ananterra_Plavu101,Music,PlayMusicIntent,Kakkakarumban (Ee Puzhayum Kadannu) by Sunil from JioSaavn.,,please play the songs from the movie ee puzhayum kadannu,
2025-09-09 08:54:04 IST,Ananterra_Plavu101,,Unknown,,hey alexa,,
2025-09-09 08:44:58 IST,Ananterra_Plavu101,Music,PlayMusicIntent,Playing malayalam music from JioSaavn.,,please play a beautiful malayalam song morning,
2025-09-09 08:44:55 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 08:43:40 IST,Ananterra_Plavu101,Global,StopIntent,,,stop,
2025-09-09 08:42:44 IST,Ananterra_Plavu101,Music,PlayMusicIntent,Playing malayalam music from JioSaavn.,,please play a malayalam beautiful song,
2025-09-09 08:42:41 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 08:42:29 IST,Ananterra_Plavu101,Music,PlayMusicIntent,"To listen to Spotify, go to the Alexa Mobile app and link your account.",,please play malayalam melody song,
2025-09-09 08:42:25 IST,Ananterra_Plavu101,,Unknown,,hey alexa,,
2025-09-09 08:41:36 IST,Ananterra_Plavu101,Music,PlayMusicIntent,"To listen to Spotify, go to the Alexa Mobile app and link your account. | I’ve sent the details to your Alexa app",,please play a melody malayalam song,
2025-09-09 08:41:32 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 08:41:03 IST,Ananterra_Plavu101,,Wildcard,I'm not quite sure how to help you with that.,,bg,
2025-09-09 08:41:00 IST,Ananterra_Plavu101,,Unknown,,,,
2025-09-09 08:40:59 IST,Ananterra_Plavu101,,Unknown,,hey alexa,,
2025-09-09 08:39:58 IST,Ananterra_Plavu101,Knowledge,QAIntent,"A superhero is a type of heroic stock character, usually possessing supernatural or superhuman powers, who is dedicated to fighting the evil of their universe, protecting the public, and usually battling super villains.",,who is the superhero,
2025-09-09 08:39:55 IST,Ananterra_Plavu101,,Unknown,,hey alexa,,
